test-0-500
valid-500-500
test	NUM	How far is it from Denver to Aspen ?
test	LOC	What county is Modesto , California in ?
test	HUM	Who was Galileo ?
test	DESC	What is an atom ?
test	NUM	When did Hawaii become a state ?
test	NUM	How tall is the Sears Building ?
test	HUM	George Bush purchased a small interest in which baseball team ?
test	ENTY	What is Australia 's national flower ?
test	DESC	Why does the moon turn orange ?
test	DESC	What is autism ?
test	LOC	What city had a world fair in 1900 ?
test	HUM	What person 's head is on a dime ?
test	NUM	What is the average weight of a Yellow Labrador ?
test	HUM	Who was the first man to fly across the Pacific Ocean ?
test	NUM	When did Idaho become a state ?
test	NUM	What is the life expectancy for crickets ?
test	ENTY	What metal has the highest melting point ?
test	HUM	Who developed the vaccination against polio ?
test	DESC	What is epilepsy ?
test	NUM	What year did the Titanic sink ?
test	HUM	Who was the first American to walk in space ?
test	DESC	What is a biosphere ?
test	LOC	What river in the US is known as the Big Muddy ?
test	DESC	What is bipolar disorder ?
test	DESC	What is cholesterol ?
test	HUM	Who developed the Macintosh computer ?
test	DESC	What is caffeine ?
test	LOC	What imaginary line is halfway between the North and South Poles ?
test	LOC	Where is John Wayne airport ?
test	LOC	What hemisphere is the Philippines in ?
test	NUM	What is the average speed of the horses at the Kentucky Derby ?
test	LOC	Where are the Rocky Mountains ?
test	DESC	What are invertebrates ?
test	NUM	What is the temperature at the center of the earth ?
test	NUM	When did John F. Kennedy get elected as President ?
test	NUM	How old was Elvis Presley when he died ?
test	LOC	Where is the Orinoco River ?
test	NUM	How far is the service line from the net in tennis ?
test	NUM	How much fiber should you have per day ?
test	NUM	How many Great Lakes are there ?
test	ENTY	Material called linen is made from what plant ?
test	DESC	What is Teflon ?
test	DESC	What is amitriptyline ?
test	DESC	What is a shaman ?
test	ENTY	What is the proper name for a female walrus ?
test	ENTY	What is a group of turkeys called ?
test	NUM	How long did Rip Van Winkle sleep ?
test	DESC	What are triglycerides ?
test	NUM	How many liters in a gallon ?
test	HUM	What is the name of the chocolate company in San Francisco ?
test	DESC	What are amphibians ?
test	HUM	Who discovered x-rays ?
test	HUM	Which comedian 's signature line is `` Can we talk '' ?
test	DESC	What is fibromyalgia ?
test	DESC	What is done with worn or outdated flags ?
test	DESC	What does cc in engines mean ?
test	NUM	When did Elvis Presley die ?
test	LOC	What is the capital of Yugoslavia ?
test	LOC	Where is Milan ?
test	NUM	What is the speed hummingbirds fly ?
test	LOC	What is the oldest city in the United States ?
test	HUM	What was W.C. Fields ' real name ?
test	LOC	What river flows between Fargo , North Dakota and Moorhead , Minnesota ?
test	ENTY	What do bats eat ?
test	LOC	What state did the Battle of Bighorn take place in ?
test	HUM	Who was Abraham Lincoln ?
test	ENTY	What do you call a newborn kangaroo ?
test	DESC	What are spider veins ?
test	NUM	What day and month did John Lennon die ?
test	LOC	What strait separates North America from Asia ?
test	NUM	What is the population of Seattle ?
test	NUM	How much was a ticket for the Titanic ?
test	LOC	What is the largest city in the world ?
test	HUM	What American composer wrote the music for `` West Side Story '' ?
test	LOC	Where is the Mall of the America ?
test	DESC	What is the pH scale ?
test	ENTY	What type of currency is used in Australia ?
test	NUM	How tall is the Gateway Arch in St. Louis , MO ?
test	NUM	How much does the human adult female brain weigh ?
test	HUM	Who was the first governor of Alaska ?
test	DESC	What is a prism ?
test	NUM	When was the first liver transplant ?
test	HUM	Who was elected president of South Africa in 1994 ?
test	NUM	What is the population of China ?
test	NUM	When was Rosa Parks born ?
test	DESC	Why is a ladybug helpful ?
test	DESC	What is amoxicillin ?
test	HUM	Who was the first female United States Representative ?
test	DESC	What are xerophytes ?
test	LOC	What country did Ponce de Leon come from ?
test	ENTY	The U.S. Department of Treasury first issued paper currency for the U.S. during which war ?
test	DESC	What is desktop publishing ?
test	NUM	What is the temperature of the sun 's surface ?
test	NUM	What year did Canada join the United Nations ?
test	HUM	What is the oldest university in the US ?
test	LOC	Where is Prince Edward Island ?
test	NUM	Mercury , what year was it discovered ?
test	DESC	What is cryogenics ?
test	DESC	What are coral reefs ?
test	ENTY	What is the longest major league baseball-winning streak ?
test	DESC	What is neurology ?
test	HUM	Who invented the calculator ?
test	DESC	How do you measure earthquakes ?
test	HUM	Who is Duke Ellington ?
test	LOC	What county is Phoenix , AZ in ?
test	DESC	What is a micron ?
test	NUM	The sun 's core , what is the temperature ?
test	ENTY	What is the Ohio state bird ?
test	NUM	When were William Shakespeare 's twins born ?
test	LOC	What is the highest dam in the U.S. ?
test	ENTY	What color is a poison arrow frog ?
test	DESC	What is acupuncture ?
test	NUM	What is the length of the coastline of the state of Alaska ?
test	HUM	What is the name of Neil Armstrong 's wife ?
test	ENTY	What is Hawaii 's state flower ?
test	HUM	Who won Ms. American in 1989 ?
test	NUM	When did the Hindenberg crash ?
test	ENTY	What mineral helps prevent osteoporosis ?
test	NUM	What was the last year that the Chicago Cubs won the World Series ?
test	LOC	Where is Perth ?
test	NUM	What year did WWII begin ?
test	NUM	What is the diameter of a golf ball ?
test	DESC	What is an eclipse ?
test	HUM	Who discovered America ?
test	NUM	What is the earth 's diameter ?
test	HUM	Which president was unmarried ?
test	NUM	How wide is the Milky Way galaxy ?
test	NUM	During which season do most thunderstorms occur ?
test	DESC	What is Wimbledon ?
test	NUM	What is the gestation period for a cat ?
test	NUM	How far is a nautical mile ?
test	HUM	Who was the abolitionist who led the raid on Harper 's Ferry in 1859 ?
test	DESC	What does target heart rate mean ?
test	ENTY	What was the first satellite to go into space ?
test	DESC	What is foreclosure ?
test	ENTY	What is the major fault line near Kentucky ?
test	LOC	Where is the Holland Tunnel ?
test	HUM	Who wrote the hymn `` Amazing Grace '' ?
test	HUM	What position did Willie Davis play in baseball ?
test	DESC	What are platelets ?
test	DESC	What is severance pay ?
test	ENTY	What is the name of Roy Roger 's dog ?
test	LOC	Where are the National Archives ?
test	ENTY	What is a baby turkey called ?
test	DESC	What is poliomyelitis ?
test	ENTY	What is the longest bone in the human body ?
test	HUM	Who is a German philosopher ?
test	ENTY	What were Christopher Columbus ' three ships ?
test	DESC	What does Phi Beta Kappa mean ?
test	DESC	What is nicotine ?
test	ENTY	What is another name for vitamin B1 ?
test	HUM	Who discovered radium ?
test	DESC	What are sunspots ?
test	NUM	When was Algeria colonized ?
test	HUM	What baseball team was the first to make numbers part of their uniform ?
test	LOC	What continent is Egypt on ?
test	LOC	What is the capital of Mongolia ?
test	DESC	What is nanotechnology ?
test	LOC	In the late 1700 's British convicts were used to populate which colony ?
test	LOC	What state is the geographic center of the lower 48 states ?
test	DESC	What is an obtuse angle ?
test	DESC	What are polymers ?
test	NUM	When is hurricane season in the Caribbean ?
test	LOC	Where is the volcano Mauna Loa ?
test	ENTY	What is another astronomic term for the Northern Lights ?
test	LOC	What peninsula is Spain part of ?
test	NUM	When was Lyndon B. Johnson born ?
test	DESC	What is acetaminophen ?
test	LOC	What state has the least amount of rain per year ?
test	HUM	Who founded American Red Cross ?
test	NUM	What year did the Milwaukee Braves become the Atlanta Braves ?
test	NUM	How fast is alcohol absorbed ?
test	NUM	When is the summer solstice ?
test	DESC	What is supernova ?
test	LOC	Where is the Shawnee National Forest ?
test	LOC	What U.S. state 's motto is `` Live free or Die '' ?
test	LOC	Where is the Lourve ?
test	NUM	When was the first stamp issued ?
test	ENTY	What primary colors do you mix to make orange ?
test	NUM	How far is Pluto from the sun ?
test	LOC	What body of water are the Canary Islands in ?
test	DESC	What is neuropathy ?
test	LOC	Where is the Euphrates River ?
test	DESC	What is cryptography ?
test	ENTY	What is natural gas composed of ?
test	HUM	Who is the Prime Minister of Canada ?
test	HUM	What French ruler was defeated at the battle of Waterloo ?
test	DESC	What is leukemia ?
test	LOC	Where did Howard Hughes die ?
test	ENTY	What is the birthstone for June ?
test	ENTY	What is the sales tax in Minnesota ?
test	NUM	What is the distance in miles from the earth to the sun ?
test	NUM	What is the average life span for a chicken ?
test	NUM	When was the first Wal-Mart store opened ?
test	DESC	What is relative humidity ?
test	LOC	What city has the zip code of 35824 ?
test	ENTY	What currency is used in Algeria ?
test	HUM	Who invented the hula hoop ?
test	ENTY	What was the most popular toy in 1957 ?
test	ENTY	What is pastrami made of ?
test	ENTY	What is the name of the satellite that the Soviet Union sent into space in 1957 ?
